id_line_edge,constellation_code,point1_ra,point1_dec,point2_ra,point2_dec
1,ORI,4.830833,6.950000,4.843611,8.900000
2,ORI,4.853611,5.600000,4.830833,6.950000
3,ORI,4.904167,2.450000,4.853611,5.600000
4,ORI,4.975833,1.716700,4.904167,2.450000
5,ORI,5.418889,6.350000,4.975833,1.716667
6,ORI,5.533611,-0.300000,5.418889,6.350000
7,ORI,5.408056,-2.383300,5.533611,-0.300000
8,ORI,5.293333,-6.850000,5.408056,-2.383333
9,ORI,5.242222,-8.200000,5.293333,-6.850000
10,ORI,5.796111,-9.666700,5.242222,-8.200000
11,ORI,5.679444,-1.950000,5.796111,-9.666667
12,ORI,5.919444,7.400000,5.679444,-1.950000
13,ORI,5.585556,9.933300,5.919444,7.400000
14,ORI,5.418889,6.350000,5.585556,9.933333
15,ORI,5.603333,-1.200000,5.679444,-1.950000
16,ORI,5.533611,-0.300000,5.603333,-1.200000
17,ORI,6.039722,9.650000,5.919444,7.400000
18,ORI,6.126389,14.766700,6.039722,9.650000
19,ORI,5.906389,20.266700,6.126389,14.766667
20,ORI,6.198889,14.216700,6.039722,9.650000
21,ORI,6.065278,20.133300,6.198889,14.216667
22,GEM,7.485278,31.783300,7.576667,31.883333
23,GEM,7.185833,30.250000,7.485278,31.783333
24,GEM,6.732222,25.133300,7.185833,30.250000
25,GEM,6.382778,22.516700,6.732222,25.133333
26,GEM,6.247778,22.500000,6.382778,22.516667
27,GEM,6.482778,20.216700,6.732222,25.133333
28,GEM,7.598889,26.900000,7.740833,24.400000
29,GEM,7.428889,27.800000,7.598889,26.900000
30,GEM,7.185833,30.250000,7.428889,27.800000
31,GEM,6.879722,33.966700,7.185833,30.250000
32,GEM,7.598889,26.900000,7.755278,28.016667
33,GEM,7.335278,21.983300,7.598889,26.900000
34,GEM,7.068611,20.566700,7.335278,21.983333
35,GEM,6.628611,16.400000,7.068611,20.566667
36,GEM,7.301667,16.533300,7.335278,21.983333
37,GEM,6.755000,12.900000,7.301667,16.533333
38,CNC,8.721389,21.466700,8.778333,28.766667
39,CNC,8.744722,18.150000,8.721389,21.466667
40,CNC,8.275278,9.200000,8.744722,18.150000
41,CNC,8.084444,13.116700,8.275278,9.200000
42,CNC,8.721389,21.466700,8.084444,13.116667
43,CNC,8.974722,11.866700,8.744722,18.150000
44,CMI,7.452500,8.283300,7.655000,5.233333
45,CMA,6.903333,-12.050000,6.935833,-17.050000
46,CMA,7.062500,-15.633300,6.903333,-12.050000
47,CMA,6.935833,-17.050000,7.062500,-15.633333
48,CMA,6.752500,-16.716700,6.935833,-17.050000
