id,hip,hd,hr,gl,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con,lum
88,88,224834,9081,,Tau Phe,,0.017941,-48.809876,181.8182,5.71,-0.588,G8III,0.911,Tau,,Phe,149.692485676
107,107,224865,9082,,,,0.022255,-50.337373,166.3894,5.53,-0.576,M2III,1.615,,,Phe,148.0471324898
122,122,224889,9084,,The Oct,,0.026616,-77.065724,66.5779,4.78,0.663,K2III,1.254,The,,Oct,47.2933414919
124,124,224893,9085,,,,0.026949,61.222801,943.3962,5.58,-4.293,F0III,0.407,,,Cas,4541.5071263256
145,145,224926,9087,,,,0.030402,-3.027504,139.2758,5.13,-0.589,B7III-IV,-0.128,,29,Psc,149.8304210623
154,154,224935,9089,,,,0.032672,-6.014072,132.4503,4.37,-1.24,M3III,1.631,,30,Psc,272.8977782808
171,171,224930,9088,Gl 914A,,,0.036139,27.082256,12.1699,5.8,5.374,G3V,0.69,,85,Peg,0.6171631685
183,183,224990,9091,,Zet Scl,,0.038867,-29.720414,154.0832,5.04,-0.899,B4V,-0.15,Zet,,Scl,199.3425456498
194,194,225003,9093,,,,0.041584,8.485463,36.9004,5.7,2.865,F0V,0.315,,32,Psc,6.2230028517
208,207,225009,9094,,,,0.043357,66.098966,100000,5.87,-14.13,G8III,1.073,,,Cas,39084089.5792402
300,301,225132,9098,,,,0.06233,-17.335988,83.4725,4.55,-0.058,B9IVn,-0.047,,2,Cet,91.8755601666
330,330,225180,9100,,,,0.070462,62.287664,100000,5.9,-14.1,A1III,0.274,,9,Cas,38018939.6320561
343,343,225197,9101,,,,0.072165,-16.529036,90.6618,5.78,0.993,K0III,1.084,,,Cet,34.8979567438
355,355,225212,9103,,,,0.075033,-10.509523,641.0256,4.99,-4.044,K3Ibvar,1.619,,3,Cet,3610.7714510035
377,377,225253,9108,,,,0.078131,-71.436891,175.4386,5.59,-0.631,B8III,-0.1,,,Tuc,155.7399389081
379,379,225216,9104,,,,0.078304,67.166445,92.6784,5.68,0.845,K1III,1.051,,,Cep,39.9944749761
418,418,225289,9110,,,,0.085039,61.31397,221.7295,5.8,-0.929,B8MNp...,-0.067,,,Cas,204.927385838
441,443,28,3,,,,0.088928,-5.707618,39.4945,4.61,1.627,K1III,1.029,,33,Psc,19.4625615936
475,476,87,4,,,,0.094989,13.396266,114.2857,5.55,0.26,G5III,0.901,,86,Peg,68.5488226453
517,518,123,5,Gl 4.1A,,,0.104356,58.436733,21.4777,5.98,4.32,G5V,0.687,,,Cas,1.6292960326
521,522,142,6,Gl 4.2A,,,0.105277,-49.075191,25.7136,5.7,3.649,G1IV...,0.519,,,Phe,3.02273448
530,531,144,7,,,,0.10737,64.196168,265.9574,5.57,-1.554,B9III,-0.023,,10,Cas,364.4181507889
635,636,319,12,,,,0.129693,-22.50856,78.3699,5.93,1.459,A1V,0.141,,,Cet,22.7195643774
654,655,344,13,,,,0.134303,-33.529326,94.9668,5.67,0.782,K1III,1.119,,,Scl,42.3838105774
670,671,360,16,,,,0.138204,-8.824112,98.4252,5.99,1.024,G8III:,1.034,,,Cet,33.9156386906
676,677,358,15,,Alp And,Alpheratz,0.139791,29.090432,29.7442,2.07,-0.297,B9p,-0.038,Alp,21,And,114.498553469
727,729,448,22,,,,0.150672,18.211963,87.4126,5.57,0.862,G9III,1.043,,87,Peg,39.3731353701
744,746,432,21,Gl 8,Bet Cas,Caph,0.152887,59.14978,16.7842,2.28,1.155,F2III-IV,0.38,Bet,11,Cas,30.0607630263
759,761,493,24,,Kap 1 Scl,,0.155851,-27.987928,77.4593,5.42,0.975,F3V,0.414,Kap-1,,Scl,35.4813389234
763,765,496,25,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,3.88,0.652,K0III,1.013,Eps,,Phe,47.7749234659
811,813,560,26,,,,0.167278,11.145813,93.633,5.54,0.683,B9V,-0.064,,34,Psc,46.4301407282
812,814,636,30,,Gam 3 Oct,,0.167293,-82.224047,78.064,5.29,0.828,K1/K2III,1.049,Gam-3,,Oct,40.6256198187
838,840,587,29,,,,0.171908,-5.248588,58.309,5.84,2.011,K1III,0.973,,,Psc,13.6646968074
839,841,571,27,,,,0.172012,46.072272,377.3585,5.01,-2.874,F2II,0.405,,22,And,1229.1361730602
871,873,645,31,,,,0.178565,-12.579897,75.0188,5.84,1.464,K0III,1,,,Cet,22.6151774611
908,910,693,33,Gl 10,,,0.187739,-15.467977,18.7477,4.89,3.525,F5V,0.487,,6,Cet,3.3884415614
